id,date,lon,lat,area,length,weight,age,sex,maturity,stomach.volume,stomach.weight,year
1503,2003-08-23T19:00:00Z,-22.7833333333333,64.3333333333333,South,693,NA,12.3,Male,mature,44,2,2003
1504,2003-08-18T17:00:00Z,-23.9333333333333,64.9833333333333,South,520,NA,13.3,Male,immature,0.2,0.193,2003
1507,2003-09-24T08:00:00Z,-16.25,63.95,South,809,NA,32.8,Male,mature,39,3.12,2003
1508,2003-09-19T11:00:00Z,-21.2666666666667,63.8333333333333,South,762,NA,24.1,Male,mature,36,18.4636363636364,2003
1537,2003-09-18T10:00:00Z,-21.9833333333333,63.8166666666667,South,760,NA,NA,Female,pregnant,36,8.615,2003
1539,2003-09-08T12:00:00Z,-15.6166666666667,64.1666666666667,South,810,NA,23.1,Female,pregnant,27,12.8048780487805,2003
1540,2003-09-09T13:00:00Z,-14.95,64.2,South,840,NA,10.2,Female,NA,NA,NA,2003
1541,2003-09-06T09:00:00Z,-14.2333333333333,65.7666666666667,North,730,NA,11.2,Female,pregnant,2,2,2003
1542,2003-08-28T12:00:00Z,-14.7833333333333,64.2666666666667,South,778,NA,21.7,Male,mature,68,19.2923076923077,2003
1543,2003-09-03T17:00:00Z,-14.1166666666667,65.7833333333333,North,729,NA,13.5,Male,mature,0,1,2003
1568,2003-08-24T10:00:00Z,-15.2,64.2166666666667,South,782,NA,NA,Female,pregnant,28,1.86326530612245,2003
1570,2003-08-24T15:00:00Z,-15.6833333333333,64.15,South,840,NA,35.6,Female,pregnant,140,9.7,2003
1572,2003-08-22T16:00:00Z,-18.8,63.3166666666667,South,770,NA,35.5,Male,mature,168,94,2003
1573,2003-08-21T22:00:00Z,-22.1383333333333,63.8166666666667,South,776,NA,NA,Male,mature,60,91.88,2003
19208,2005-07-06T11:00:00Z,-22.9411666666667,64.0538333333333,South,777,NA,21.5,Male,mature,3.2,4.237,2005
19209,2005-07-19T07:00:00Z,-16.4456666666667,63.769,South,802,NA,35.5,Male,mature,10,2.1,2005
19210,2005-07-19T10:00:00Z,-16.4223333333333,63.7663333333333,South,727,NA,15.7,Male,mature,0,2.4,2005
